;401;470;471
1;5756;4101;5936
261;6130;4340;6310
6;3744;2089;3924
13;879;3187;1059
14;737;3045;917
16;2609;1683;2789
20;863;3171;1043
22;489;2797;669
25;566;2874;746
288;4073;2418;4253
290;3705;2050;3885
36;1424;3732;1604
295;3042;1387;3222
42;1103;1757;1283
45;1262;1916;1442
46;658;1944;838
304;2400;1278;2580
51;978;1805;1158
307;1679;882;1859
54;737;1627;917
311;1984;1187;2164
312;2178;1381;2358
314;2377;1580;2557
315;3670;1880;3850
317;2225;1299;2405
64;1484;3792;1664
65;1623;3931;1803
323;3200;1410;3380
324;2744;1818;2924
69;1220;3528;1400
71;786;3094;966
73;1544;3852;1724
330;2411;1289;2591
75;1639;3947;1819
77;1459;3767;1639
333;3139;1484;3319
334;2685;895;2865
79;1124;3432;1304
335;2049;927;2229
337;2090;300;2270
83;1257;3565;1437
85;2112;4420;2292
87;2004;4312;2184
89;588;2896;768
91;2322;1396;2502
93;2348;1422;2528
94;2645;1719;2825
95;2730;1804;2910
98;1184;1838;1364
355;2327;537;2507
356;2243;588;2423
107;1367;3675;1547
110;1225;3533;1405
111;1319;3627;1499
115;1400;3708;1580
374;3537;1747;3717
119;1117;3425;1297
375;3808;2018;3988
120;1198;3506;1378
121;1179;3487;1359
122;1108;3416;1288
123;955;3263;1135
124;1067;3375;1247
127;1271;3579;1451
390;2659;4967;2839
392;3915;2125;4095
137;1330;1984;1510
401;0;2308;180
402;1523;3831;1703
156;1343;3651;1523
417;2131;553;2311
162;473;2781;653
164;1085;1399;1265
425;4127;2472;4307
427;1022;3330;1202
428;963;2036;1143
431;1325;3633;1505
180;1182;1347;1362
436;347;2655;527
181;1421;1586;1601
437;408;2716;588
439;1490;3798;1670
193;1957;4265;2137
449;1469;3777;1649
198;1016;3324;1196
460;2570;780;2750
211;634;2942;814
468;2548;1426;2728
469;3031;1376;3211
216;2476;4784;2656
220;3189;5497;3369
221;1100;3408;1280
223;1243;1897;1423
229;2098;4406;2278
231;1990;4298;2170
232;2071;4379;2251
234;2489;4797;2669
236;2348;4656;2528
239;1070;3378;1250
244;1641;3949;1821
249;1031;1685;1211
250;923;1577;1103
251;851;1505;1031
