;1;261;6;13;14;16;20;25;288;36;295;42;45;304;51;307;54;311;312;314;315;64;65;323;324;69;71;73;330;75;77;333;334;79;335;80;337;83;85;87;89;91;93;94;95;98;355;356;107;110;111;115;374;119;375;120;121;122;123;124;127;390;392;137;399;401;402;156;417;162;164;425;427;428;431;436;180;437;181;439;185;449;193;197;198;211;468;469;216;220;221;223;229;231;232;234;236;239;244;249;250;251
1;0;7728;2012;6492;6332;4639;6601;6325;3839;7351;2714;5232;5379;4629;5175;4178;5019;4465;4578;4897;5243;7075;7145;4886;5052;6843;6479;7113;4603;7077;7005;2957;4317;6848;4239;6885;3801;7010;7648;7486;6470;4658;4666;4693;4840;5212;3648;3513;6912;6831;6858;6944;5149;6813;5460;6736;6789;6664;6588;6606;6768;8000;5581;5444;5862;5756;6993;7025;3625;6254;4854;3745;6950;5655;6826;6129;4698;6170;4932;7146;6530;6984;7352;6765;6819;6401;4653;3065;8025;9160;6777;5243;7474;7504;7582;7933;7722;6679;7330;5090;4982;4905
261;7831;0;5900;6866;6706;5013;6975;6699;6202;7725;5238;5606;5753;5003;5549;4552;5393;4839;4952;5271;5482;7449;7519;2930;5426;7217;6853;7487;4977;7451;7379;5329;4556;7222;4613;7259;4040;7384;8022;7860;6844;5032;5040;5067;5214;5586;4509;4404;7286;7205;7232;7318;5388;7187;2322;7110;7163;7038;6962;6980;7142;8374;5820;5818;6236;6130;7367;7399;4281;6628;5228;6269;7324;6029;7200;6503;5072;6544;5306;7520;6904;7358;7726;7139;7193;6775;5027;5204;8399;9534;7151;5617;7848;7878;7956;8307;8096;7053;7704;5464;5356;5279
6;1931;5716;0;4480;4320;2627;4589;4313;1827;5339;702;3220;3367;2617;3163;2166;3007;2453;2566;2885;3231;5063;5133;2874;3040;4831;4467;5101;2591;5065;4993;945;2305;4836;2227;4873;1789;4998;5636;5474;4458;2646;2654;2681;2828;3200;1636;1501;4900;4819;4846;4932;3137;4801;3448;4724;4777;4652;4576;4594;4756;5988;3569;3432;3850;3744;4981;5013;1613;4242;2842;1733;4938;3643;4814;4117;2686;4158;2920;5134;4518;4972;5340;4753;4807;4389;2641;1053;6013;7148;4765;3231;5462;5492;5570;5921;5710;4667;5318;3078;2970;2893
13;6243;6814;4312;0;142;2589;1724;1448;4614;2188;3650;2009;2156;3144;1794;2476;1560;2763;2876;3195;4329;927;997;3972;3291;351;1602;621;3118;929;857;3741;3403;1971;2754;2008;2887;2133;1500;1338;1593;2787;2616;2643;2790;1989;2650;2816;764;683;710;796;4235;665;4546;588;641;516;440;458;620;1852;4667;2221;985;879;837;533;2693;1377;1964;4681;2073;1914;678;903;1964;795;2198;1217;1367;836;1204;1888;1942;1524;3168;3616;1877;4283;848;2020;1326;1356;1434;1785;1574;750;1401;1867;1759;1682
14;6101;6672;4170;160;0;2447;1582;1306;4472;2046;3508;1867;2014;3002;1652;2334;1418;2621;2734;3053;4187;785;855;3830;3149;511;1460;781;2976;787;715;3599;3261;1829;2612;1866;2745;1991;1358;1196;1451;2645;2474;2501;2648;1847;2508;2674;622;541;568;654;4093;523;4404;446;499;374;298;316;478;1710;4525;2079;843;737;703;693;2551;1235;1822;4539;1931;1772;536;761;1822;653;2056;1075;1225;694;1062;1746;1800;1382;3026;3474;1735;4141;706;1878;1184;1214;1292;1643;1432;608;1259;1725;1617;1540
16;4739;5310;2808;3345;3185;0;3454;3178;3110;4204;2146;2085;2232;1640;2028;1031;1872;1318;1431;1750;2825;3928;3998;2468;936;3696;3332;3966;1614;3930;3858;2237;1899;3701;1250;3738;1383;3863;4501;4339;3323;432;261;162;309;2065;1146;1312;3765;3684;3711;3797;2731;3666;3042;3589;3642;3517;3441;3459;3621;4853;3163;2297;2715;2609;3846;3878;1189;3107;1707;3177;3803;2508;3679;2982;1551;3023;1785;3999;3383;3837;4205;3618;3672;3254;1664;2112;4878;6013;3630;2096;4327;4357;4435;4786;4575;3532;4183;1943;1835;1758
20;6227;6798;4296;1599;1439;2573;0;582;4598;2458;3634;1993;2140;3128;1778;2460;1544;2747;2860;3179;4313;2182;2252;3956;3275;1950;736;2220;3102;2184;2112;3725;3387;1578;2738;1615;2871;1740;2755;2593;1200;2771;2600;2627;2774;1973;2634;2800;2019;1938;1965;2051;4219;1920;4530;1843;1896;1771;1695;1713;1875;3107;4651;2205;969;863;2100;2132;2677;984;1948;4665;1680;1898;1933;1236;1948;1277;2182;2253;1637;2091;2459;1495;1549;658;3152;3600;3132;3890;1884;2004;2581;2611;2689;3040;2829;1786;2437;1851;1743;1666
22;5853;6424;3922;1225;1065;2199;433;75;4224;2084;3260;1619;1766;2754;1404;2086;1170;2373;2486;2805;3939;1808;1878;3582;2901;1576;238;1846;2728;1810;1738;3351;3013;1204;2364;1241;2497;1366;2381;2219;826;2397;2226;2253;2400;1599;2260;2426;1645;1564;1591;1677;3845;1546;4156;1469;1522;1397;1321;1339;1501;2733;4277;1831;595;489;1726;1758;2303;610;1574;4291;1306;1524;1559;862;1574;903;1808;1879;1263;1717;2085;1121;1175;151;2778;3226;2758;3516;1510;1630;2207;2237;2315;2666;2455;1412;2063;1477;1369;1292
25;5930;6501;3999;1302;1142;2276;510;0;4301;2161;3337;1696;1843;2831;1481;2163;1247;2450;2563;2882;4016;1885;1955;3659;2978;1653;292;1923;2805;1887;1815;3428;3090;1281;2441;1318;2574;1443;2458;2296;903;2474;2303;2330;2477;1676;2337;2503;1722;1641;1668;1754;3922;1623;4233;1546;1599;1474;1398;1416;1578;2810;4354;1908;672;566;1803;1835;2380;687;1651;4368;1383;1601;1636;939;1651;980;1885;1956;1340;1794;2162;1198;1252;76;2855;3303;2835;3593;1587;1707;2284;2314;2392;2743;2532;1489;2140;1554;1446;1369
